ratio,test_acc_mean
0.0,78.30000000000001
0.04966139954853273,78.14
0.09932279909706546,77.94
0.1489841986455982,78.08000000000001
0.1986455981941309,77.72
0.24830699774266365,78.26000000000002
0.2979683972911964,77.9
0.3476297968397291,77.8
0.3972911963882618,77.22
0.4469525959367946,77.38
0.4966139954853273,77.38000000000001
0.54627539503386,77.08000000000001
-0.0,78.30000000000001
-0.04966139954853273,77.64000000000001
-0.09932279909706546,77.42
-0.1489841986455982,77.7
-0.1986455981941309,77.34
-0.24830699774266365,77.52000000000001
-0.2979683972911964,76.82000000000001
-0.3476297968397291,76.22
-0.3972234762979684,75.28
-0.4467720090293454,74.1
-0.49575620767494355,72.84
-0.5448532731376975,72.93999999999998
0.0,78.30000000000001
0.01917696958758235,78.14000000000001
0.0383539391751647,78.64000000000001
0.057530908762747045,78.08000000000001
0.0767078783503294,78.24000000000001
0.09588484793791174,78.3
0.11506181752549409,78.24000000000001
0.13423878711307644,77.96000000000001
0.1534157567006588,77.8
0.17259272628824113,77.82000000000001
0.1917696958758235,78.14
0.21094666546340582,78.06000000000002
0.23012363505098818,78.22
0.24930060463857054,78.34
-0.0,78.30000000000001
-0.08009204945402039,78.38000000000001
-0.16018409890804078,77.18
-0.24027614836206118,77.74
-0.32036819781608156,77.56
-0.400460247270102,77.1
-0.48041692987997475,78.32000000000001
-0.5580046927172638,80.06
