ratio,test_acc_mean
0.0,78.02000000000001
0.04966139954853273,78.3
0.09932279909706546,77.80000000000001
0.1489841986455982,78.26
0.1986455981941309,77.62
0.24830699774266365,78.06
0.2979683972911964,75.88
0.3476297968397291,75.61999999999999
0.3972911963882618,76.78
0.4469525959367946,76.82
0.4966139954853273,76.26
0.54627539503386,76.94000000000001
-0.0,78.02000000000001
-0.04966139954853273,77.66
-0.09932279909706546,77.04
-0.1489841986455982,77.54
-0.1986455981941309,77.46000000000001
-0.24830699774266365,76.85999999999999
-0.2979683972911964,76.42
-0.3476297968397291,75.54
-0.3972234762979684,75.28
-0.4467720090293454,73.33999999999999
-0.49575620767494355,71.97999999999999
-0.5448532731376975,72.16
0.0,78.02000000000001
0.01917696958758235,78.0
0.0383539391751647,78.42
0.057530908762747045,78.32000000000001
0.0767078783503294,78.38000000000001
0.09588484793791174,78.26000000000002
0.11506181752549409,78.88000000000001
0.13423878711307644,78.28
0.1534157567006588,78.18
0.17259272628824113,78.02000000000001
0.1917696958758235,78.14
0.21094666546340582,78.08
0.23012363505098818,77.55999999999999
0.24930060463857054,77.14000000000001
-0.0,78.02000000000001
-0.08009204945402039,77.75999999999999
-0.16018409890804078,77.75999999999999
-0.24027614836206118,78.6
-0.32036819781608156,77.82000000000001
-0.400460247270102,76.0
-0.48041692987997475,78.48000000000002
-0.5580046927172638,80.78
