ratio,test_acc_mean
0.0,66.3
0.043985045084671215,66.74
0.08797009016934243,65.68
0.13195513525401364,65.62
0.17594018033868486,66.10000000000001
0.21992522542335605,66.10000000000001
0.2639102705080273,66.04
0.3078953155926985,66.38
0.3518803606773697,65.22
0.3958654057620409,66.92
0.4398504508467121,66.16
0.4838354959313833,65.96000000000001
0.5278205410160546,64.88000000000001
-0.0,66.3
-0.043985045084671215,65.68
-0.08797009016934243,64.78
-0.13195513525401364,65.76
-0.17594018033868486,65.96000000000001
-0.21992522542335605,66.24000000000001
-0.2603914669012536,64.84
-0.29909830657576425,64.47999999999999
-0.33802507147569827,64.34
-0.3778315372773257,63.52
-0.41213987244336925,63.0
-0.45414559049923026,63.260000000000005
-0.4880140752144271,62.260000000000005
-0.5254013635363977,61.21999999999999
0.0,66.3
0.021968365553602813,66.2
0.043936731107205626,65.34
0.06590509666080843,66.10000000000001
0.08787346221441125,66.18000000000002
0.10984182776801406,66.28
0.13181019332161686,66.46000000000001
0.15377855887521968,66.14
0.1757469244288225,67.2
0.1977152899824253,66.34
0.21968365553602812,66.16
0.24165202108963094,66.26
0.26362038664323373,66.12
0.28558875219683655,67.32
-0.0,66.3
-0.06590509666080843,65.64000000000001
-0.13181019332161686,64.4
-0.1977152899824253,65.82000000000001
-0.2587873462214411,67.16
-0.3227152899824253,68.03999999999999
-0.3851054481546573,66.36
-0.4474956063268893,66.62000000000002
-0.5032952548330404,65.88
