ratio,test_acc_mean

-0.4298308960702894,66.58
-0.3822591322139977,66.78
-0.3319191189745441,67.34
-0.2798339050370103,67.25999999999999
-0.2256123247276885,67.94
-0.1715411927544081,68.6
-0.1144610940602997,69.14
-0.0579226093759403,70.72
0.0,78.02000000000001
0.0387855810314737,81.6
0.0764578443762412,81.71999999999999
0.1129566106998856,81.86
0.1488836733465728,82.2
0.1818017692724318,82.92
0.2140278028525004,82.6
0.2425528073659505,83.0
0.2704459288680267,83.7
0.2960522356622735,83.22
0.3202443280977312,83.11999999999999
0.3417885298188602,83.38
0.3642655112234458,84.12
0.387013299632906,84.46
 
