ratio,test_acc_mean

-0.3942812682357518,69.86 
-0.3514880373468196,70.78999999999999
-0.3013032483952538,71.53999999999999
-0.2524800622446995,72.11999999999999
-0.2061855670103092,74.46000000000001
-0.1573623808597549,74.9
-0.1093172534526356,75.2
-0.0569928029566232,77.46000000000001
0.0,80.66
0.0289826881929585,81.53999999999999
0.0567982882707644,82.35999999999999
0.0850029177202878,82.32
0.1120404590546586,82.93999999999998
0.1349931919859949,82.96000000000001
0.176389807430461,83.2
0.216035790702198,83.98
0.2589087726123322,84.22
0.2709239447578292,85.16000000000001
0.3197918692861311,84.38
0.3597918692861311,84.7
