ratio,test_acc_mean

-0.4167064439140811,61.1 
-0.3768496420047733,61.11999999999999
-0.3298329355608592,61.16999999999999
-0.2806682577565632,61.46
-0.2288782816229116,62.06
-0.1723150357995226,62.78
-0.1174224343675417,63.0
-0.0596658711217183,64.1
0.0,65.96000000000001
0.035799522673031,66.41999999999999
0.0711217183770883,66.96000000000001
0.1040572792362768,67.28
0.1355608591885441,67.85999999999999
0.1649164677804296,67.74
0.1947494033412888,68.7
0.2229116945107398,68.24
0.2501193317422434,68.36
0.2723150357995226,68.32
0.2930787589498806,68.36
0.3128878281622911,68.53999999999999
0.3336515513126492,68.23999999999998
0.3563245823389021,68.19
