ratio,test_acc_mean

-0.4577565632458233,61.96
-0.4167064439140811,62.3 
-0.3768496420047733,62.66000000000001
-0.3298329355608592,63.65999999999999
-0.2806682577565632,63.30000000000001
-0.2288782816229116,64.28
-0.1723150357995226,64.48
-0.1174224343675417,65.04
-0.0596658711217183,65.66
0.0,67.67999999999999
0.035799522673031,68.36000000000001
0.0711217183770883,68.03999999999999
0.1040572792362768,68.82
0.1355608591885441,69.22
0.1649164677804296,69.66
0.1947494033412888,69.12
0.2229116945107398,69.99999999999999
0.2501193317422434,70.08
0.2723150357995226,71.1
0.2930787589498806,69.84
0.3128878281622911,70.5
0.3336515513126492,70.28
0.3563245823389021,70.32
